INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('97410', '5.00'),
('68095', '35.00'),
('32426', '12.00'),
('62512', '24.00'),
('28671', '48.00'),
('26732', '7.00'),
('22272', '17.00'),
('77564', '49.00'),
('49009', '15.00'),
('49136', '9.00'),
('87222', '38.00'),
('20853', '6.00'),
('95303', '22.00'),
('62427', '4.00'),
('16833', '34.00'),
('98337', '49.00'),
('51026', '39.00'),
('10294', '13.00'),
('59693', '10.00'),
('40147', '44.00'),
('88709', '49.00'),
('47635', '44.00'),
('25435', '32.00'),
('32572', '3.00'),
('22484', '17.00'),
('13260', '14.00'),
('97004', '1.00'),
('99544', '3.00'),
('56076', '2.00'),
('81349', '41.00'),
('88046', '48.00'),
('22166', '7.00'),
('32966', '4.00'),
('35492', '50.00'),
('11924', '12.00'),
('90024', '6.00'),
('16925', '18.00'),
('85146', '50.00'),
('35238', '27.00'),
('60030', '20.00'),
('42906', '6.00'),
('13481', '42.00'),
('52568', '43.00'),
('38942', '48.00'),
('12384', '31.00'),
('85834', '37.00'),
('45274', '9.00'),
('39474', '44.00'),
('20357', '44.00'),
('28075', '39.00'),
('11639', '1.00'),
('96797', '41.00'),
('47466', '18.00'),
('23522', '37.00'),
('60366', '24.00'),
('25175', '24.00'),
('85223', '22.00'),
('86928', '2.00'),
('87612', '11.00'),
('86609', '21.00'),
('67922', '33.00'),
('99722', '45.00'),
('16682', '12.00'),
('74180', '43.00'),
('71315', '25.00'),
('69574', '12.00'),
('33904', '43.00'),
('29575', '3.00'),
('56921', '50.00'),
('57256', '47.00'),
('82922', '12.00'),
('10408', '36.00'),
('28571', '10.00'),
('48402', '19.00'),
('24175', '39.00'),
('62636', '23.00'),
('90634', '3.00'),
('68095', '49.00'),
('42247', '34.00'),
('55232', '44.00'),
('81785', '49.00'),
('49875', '48.00'),
('21072', '5.00'),
('70082', '22.00'),
('77900', '26.00'),
('58130', '26.00'),
('25735', '24.00'),
('88987', '13.00'),
('81118', '24.00'),
('61264', '50.00'),
('65102', '41.00'),
('72006', '33.00'),
('47971', '29.00'),
('43645', '29.00'),
('91749', '19.00'),
('12782', '10.00'),
('25813', '50.00'),
('30440', '36.00'),
('35363', '23.00'),
('46101', '36.00'),
('78655', '31.00'),
('81973', '7.00'),
('45982', '7.00'),
('74543', '28.00'),
('23278', '41.00'),
('95725', '15.00'),
('98562', '7.00'),
('71864', '31.00'),
('46734', '5.00'),
('96128', '1.00'),
('75905', '29.00'),
('98915', '50.00'),
('37380', '34.00'),
('75163', '46.00'),
('32160', '7.00'),
('35988', '43.00'),
('20287', '30.00'),
('40702', '29.00'),
('41222', '36.00'),
('81740', '49.00'),
('91314', '4.00'),
('65259', '9.00'),
('40214', '15.00'),
('86324', '42.00'),
('74952', '17.00'),
('97371', '20.00'),
('78435', '16.00'),
('59772', '43.00'),
('11244', '37.00'),
('86174', '40.00'),
('49015', '39.00'),
('41945', '36.00'),
('82242', '27.00'),
('32593', '3.00'),
('67894', '23.00'),
('48458', '12.00'),
('70762', '21.00'),
('75821', '1.00'),
('91488', '39.00'),
('23028', '37.00'),
('50726', '47.00'),
('65659', '23.00'),
('86833', '26.00'),
('68424', '24.00'),
('40247', '1.00'),
('20477', '31.00'),
('32828', '2.00'),
('33419', '31.00'),
('76023', '7.00'),
('60297', '28.00'),
('55722', '9.00'),
('63707', '19.00'),
('87844', '13.00'),
('98706', '4.00'),
('74717', '46.00'),
('34187', '29.00'),
('43926', '19.00'),
('98843', '7.00'),
('54683', '16.00'),
('34271', '23.00'),
('88182', '47.00'),
('25897', '23.00'),
('81127', '2.00'),
('27715', '5.00'),
('92166', '24.00'),
('66496', '48.00'),
('79810', '29.00'),
('43087', '33.00'),
('27190', '40.00'),
('10948', '49.00'),
('56800', '1.00'),
('53310', '49.00'),
('13326', '9.00'),
('52468', '48.00'),
('93691', '39.00'),
('39171', '5.00'),
('99623', '17.00'),
('93102', '6.00'),
('25460', '46.00'),
('19832', '41.00'),
('41253', '9.00'),
('21293', '26.00'),
('38094', '48.00'),
('17843', '28.00'),
('44370', '11.00'),
('36303', '4.00'),
('12487', '34.00'),
('95279', '30.00'),
('70415', '22.00'),
('16172', '14.00'),
('92789', '46.00'),
('45654', '32.00'),
('49841', '33.00'),
('37529', '47.00'),
('23514', '48.00'),
('53523', '4.00'),
('68753', '10.00'),
('59219', '14.00'),
('44003', '33.00'),
('60286', '38.00'),
('77395', '31.00'),
('86252', '10.00'),
('47644', '32.00'),
('53201', '50.00'),
('57779', '2.00'),
('26545', '27.00'),
('86666', '36.00'),
('82912', '17.00'),
('58446', '49.00'),
('52249', '24.00'),
('11552', '16.00'),
('88395', '42.00'),
('57523', '28.00'),
('32746', '20.00'),
('12942', '42.00'),
('55570', '45.00'),
('99734', '15.00'),
('71218', '25.00'),
('75520', '43.00'),
('98908', '36.00'),
('94476', '33.00'),
('80399', '13.00'),
('62845', '21.00'),
('50015', '17.00'),
('89372', '25.00'),
('63666', '47.00'),
('94274', '24.00'),
('83412', '47.00'),
('36633', '10.00'),
('76757', '28.00'),
('21460', '8.00'),
('30116', '15.00'),
('28126', '19.00'),
('57454', '48.00'),
('31568', '43.00'),
('38214', '17.00'),
('99651', '20.00'),
('54136', '34.00'),
('25394', '6.00'),
('72849', '17.00'),
('88531', '15.00'),
('40611', '18.00'),
('20995', '27.00'),
('62745', '48.00'),
('31131', '12.00'),
('31286', '8.00'),
('57596', '3.00'),
('83700', '24.00'),
('63096', '39.00'),
('44377', '3.00'),
('63319', '9.00'),
('73123', '7.00'),
('86482', '44.00'),
('53949', '33.00'),
('21983', '41.00'),
('27583', '14.00'),
('27349', '8.00'),
('65155', '49.00'),
('88975', '37.00'),
('63973', '34.00'),
('39219', '17.00'),
('17329', '33.00'),
('36600', '30.00'),
('31705', '50.00'),
('14118', '15.00'),
('20555', '9.00'),
('82872', '44.00'),
('95435', '17.00'),
('83179', '12.00'),
('49789', '24.00'),
('91840', '31.00'),
('94070', '9.00'),
('73758', '41.00'),
('61077', '16.00'),
('90514', '49.00'),
('59461', '35.00'),
('26982', '37.00'),
('70355', '47.00'),
('48931', '4.00'),
('55662', '38.00'),
('57722', '42.00'),
('53108', '46.00'),
('80793', '28.00'),
('22922', '21.00'),
('63319', '20.00'),
('73760', '49.00'),
('51395', '45.00'),
('26744', '21.00'),
('33432', '33.00'),
('41816', '50.00'),
('58552', '29.00'),
('93146', '45.00'),
('26901', '10.00'),
('74380', '11.00'),
('92881', '19.00'),
('26490', '41.00'),
('89897', '4.00'),
('29630', '12.00'),
('29817', '32.00'),
('12584', '34.00'),
('10413', '4.00'),
('98977', '32.00'),
('30778', '28.00'),
('65652', '29.00'),
('99721', '48.00'),
('81106', '17.00'),
('29810', '8.00'),
('46466', '15.00'),
('73190', '45.00'),
('18305', '45.00'),
('95044', '47.00'),
('73631', '5.00'),
('57060', '3.00'),
('28524', '33.00'),
('87716', '46.00'),
('51231', '33.00'),
('19709', '33.00'),
('43868', '38.00'),
('49207', '30.00'),
('27719', '50.00'),
('16719', '46.00'),
('28029', '41.00'),
('69546', '15.00'),
('33504', '38.00'),
('78219', '40.00'),
('74026', '35.00'),
('52343', '19.00'),
('72732', '6.00'),
('10515', '23.00'),
('24078', '7.00'),
('70208', '36.00'),
('27266', '35.00'),
('93187', '23.00'),
('45845', '24.00'),
('65370', '28.00'),
('52171', '9.00'),
('15161', '11.00'),
('64128', '30.00'),
('20061', '28.00'),
('50635', '11.00'),
('11837', '49.00'),
('25888', '45.00'),
('11886', '28.00'),
('67557', '45.00'),
('54958', '12.00'),
('12714', '11.00'),
('61016', '47.00'),
('85260', '48.00'),
('28401', '35.00'),
('26857', '43.00'),
('85343', '30.00'),
('85242', '36.00'),
('19152', '48.00'),
('59394', '32.00'),
('45537', '2.00'),
('44920', '9.00'),
('18655', '11.00'),
('16795', '14.00'),
('36213', '28.00'),
('72311', '40.00'),
('39741', '31.00'),
('14933', '1.00'),
('79653', '36.00'),
('87953', '17.00'),
('74229', '31.00'),
('36436', '38.00'),
('89010', '20.00'),
('19620', '25.00'),
('30301', '2.00'),
('27755', '43.00'),
('23438', '2.00'),
('29420', '2.00'),
('45549', '21.00'),
('83921', '32.00'),
('85775', '20.00'),
('98920', '24.00'),
('93822', '30.00'),
('29693', '17.00'),
('19359', '16.00'),
('60421', '44.00'),
('87271', '3.00'),
('75468', '21.00'),
('70708', '27.00'),
('12579', '37.00'),
('50422', '23.00'),
('42427', '35.00'),
('76172', '30.00'),
('15375', '26.00'),
('23923', '1.00'),
('58080', '46.00'),
('35385', '5.00'),
('12100', '49.00'),
('43108', '7.00'),
('33337', '35.00'),
('79393', '48.00'),
('39514', '15.00'),
('60254', '16.00'),
('28556', '4.00'),
('53525', '42.00'),
('76253', '33.00'),
('73396', '5.00'),
('90175', '11.00'),
('57109', '40.00'),
('88815', '47.00'),
('33818', '29.00'),
('98339', '34.00'),
('88651', '46.00'),
('88812', '43.00'),
('11280', '26.00'),
('63501', '34.00'),('38919', '11.00'),
('94668', '47.00'),
('35032', '48.00'),
('43819', '13.00'),
('20556', '6.00'),
('84492', '7.00'),
('45800', '31.00'),
('67948', '19.00'),
('98500', '21.00'),
('89893', '23.00'),
('49449', '30.00'),
('80112', '6.00'),
('58529', '47.00'),
('34053', '36.00'),
('14286', '34.00'),
('25215', '14.00'),
('13241', '10.00'),
('10076', '41.00'),
('75579', '22.00'),
('92282', '16.00'),
('40944', '20.00'),
('78271', '32.00'),
('53172', '39.00'),
('57189', '42.00'),
('90779', '42.00'),
('94247', '50.00'),
('10439', '10.00'),
('22322', '9.00'),
('43934', '3.00'),
('82509', '5.00'),
('74697', '19.00'),
('31970', '50.00'),
('90790', '6.00'),
('54934', '25.00'),
('78499', '10.00'),
('71440', '7.00'),
('54306', '37.00'),
('84942', '29.00'),
('19309', '42.00'),
('84385', '45.00'),
('21993', '28.00'),
('37243', '40.00'),
('94437', '38.00'),
('86221', '16.00'),
('44160', '12.00'),
('42517', '14.00'),
('64838', '35.00'),
('77035', '28.00'),
('75974', '46.00'),
('46219', '22.00'),
('86949', '16.00'),
('18285', '28.00'),
('84871', '25.00'),
('69114', '31.00'),
('83240', '25.00'),
('78834', '13.00'),
('24368', '37.00'),
('97379', '19.00'),
('94439', '44.00'),
('38313', '10.00'),
('55511', '31.00'),
('19121', '46.00'),
('86892', '21.00'),
('22945', '41.00'),
('80285', '11.00'),
('99193', '15.00'),
('49737', '48.00'),
('45668', '25.00'),
('70817', '12.00'),
('51917', '15.00'),
('26109', '30.00'),
('50592', '4.00'),
('93257', '50.00'),
('80574', '1.00'),
('76890', '35.00'),
('29094', '24.00'),
('18919', '32.00'),
('13521', '3.00'),
('57056', '29.00'),
('41513', '18.00'),
('34047', '24.00'),
('26792', '35.00'),
('67676', '31.00'),
('77114', '23.00'),
('93482', '50.00'),
('16116', '12.00'),
('54343', '49.00'),
('86825', '37.00'),
('25347', '20.00'),
('87781', '50.00'),
('46909', '17.00'),
('55227', '17.00'),
('38347', '1.00'),
('50239', '49.00'),
('44323', '27.00'),
('25097', '36.00'),
('97456', '50.00'),
('68211', '37.00'),
('79400', '4.00'),
('49357', '4.00'),
('72451', '45.00'),
('86935', '13.00'),
('48844', '28.00'),
('19837', '3.00'),
('82146', '47.00'),
('53346', '43.00'),
('78101', '2.00'),
('73796', '34.00'),
('95374', '37.00'),
('93415', '2.00'),
('18804', '28.00'),
('53166', '3.00'),
('85622', '2.00'),
('27277', '41.00'),
('51038', '42.00'),
('45889', '37.00'),
('37032', '23.00'),
('92482', '42.00'),
('33416', '2.00'),
('73072', '48.00'),
('81041', '33.00'),
('66845', '25.00'),
('49199', '31.00'),
('14986', '37.00'),
('52426', '40.00'),
('72614', '21.00'),
('70237', '20.00'),
('60672', '35.00'),
('21622', '33.00'),
('61737', '30.00'),
('41542', '12.00'),
('92169', '18.00'),
('75811', '48.00'),
('31127', '43.00'),
('59064', '36.00'),
('38521', '4.00'),
('91001', '38.00'),
('81840', '1.00'),
('74861', '18.00'),
('22849', '11.00'),
('23942', '43.00'),
('12869', '39.00'),
('50119', '1.00'),
('90161', '31.00'),
('85255', '25.00'),
('53030', '8.00'),
('32936', '44.00'),
('52472', '30.00'),
('14290', '34.00'),
('27084', '27.00'),
('70369', '26.00'),
('70450', '39.00'),
('44671', '29.00'),
('17092', '13.00'),
('51993', '50.00'),
('42966', '13.00'),
('23589', '20.00'),
('13439', '49.00'),
('32378', '35.00'),
('37044', '42.00'),
('62248', '36.00'),
('42317', '32.00'),
('92258', '3.00'),
('68979', '6.00'),
('98078', '3.00'),
('55787', '19.00'),
('69286', '49.00'),
('88007', '40.00'),
('42626', '29.00'),
('29657', '38.00'),
('21701', '34.00'),
('20281', '20.00'),
('47214', '9.00'),
('97836', '6.00'),
('87961', '1.00'),
('84629', '49.00'),
('29949', '29.00'),
('28287', '28.00'),
('41830', '25.00'),
('42891', '31.00'),
('26464', '11.00'),
('98866', '7.00'),
('86058', '17.00'),
('91926', '34.00'),
('35833', '10.00'),
('42102', '4.00'),
('90169', '6.00'),
('71190', '34.00'),
('88760', '3.00'),
('69904', '22.00'),
('37853', '6.00'),
('74905', '23.00'),
('76161', '49.00'),
('46980', '26.00'),
('10030', '49.00'),
('92722', '1.00'),
('22631', '31.00'),
('29092', '48.00'),
('39139', '12.00'),
('96521', '11.00'),
('97780', '22.00'),
('59493', '49.00'),
('61476', '10.00'),
('40725', '10.00'),
('21064', '30.00'),
('16556', '26.00'),
('98025', '36.00'),
('92339', '45.00'),
('77384', '24.00'),
('40460', '35.00'),
('94069', '10.00'),
('79400', '4.00'),
('12230', '18.00'),
('35203', '18.00'),
('72614', '7.00'),
('19557', '6.00'),
('65371', '32.00'),
('67744', '23.00'),
('47300', '5.00'),
('37585', '43.00'),
('97916', '50.00'),
('22965', '33.00'),
('11921', '25.00'),
('10188', '11.00'),
('16975', '16.00'),
('40880', '31.00'),
('53833', '36.00'),
('92586', '43.00'),
('65121', '19.00'),
('70737', '22.00'),
('66663', '46.00'),
('33761', '39.00'),
('66934', '10.00'),
('50417', '45.00'),
('97789', '25.00'),
('31081', '47.00'),
('64473', '48.00'),
('58314', '3.00'),
('31646', '4.00'),
('82145', '25.00'),
('94698', '26.00'),
('83721', '27.00'),
('35109', '12.00'),
('10163', '31.00'),
('70501', '42.00'),
('73637', '20.00'),
('74722', '10.00'),
('64509', '26.00'),
('36355', '15.00'),
('11422', '50.00'),
('37894', '25.00'),
('57471', '38.00'),
('51201', '21.00'),
('59290', '25.00'),
('23811', '49.00'),
('40837', '6.00'),
('29772', '3.00'),
('93855', '35.00'),
('98328', '22.00'),
('39921', '40.00'),
('45373', '1.00'),
('48943', '29.00'),
('10769', '28.00'),
('79673', '45.00'),
('25239', '9.00'),
('64789', '32.00'),
('14204', '4.00'),
('10781', '25.00'),
('70370', '43.00'),
('27150', '31.00'),
('49937', '26.00'),
('51696', '7.00'),
('47260', '15.00'),
('53519', '39.00'),
('60859', '11.00'),
('83579', '49.00'),
('19132', '23.00'),
('29866', '8.00'),
('77303', '15.00'),
('45034', '3.00'),
('81365', '25.00'),
('32863', '13.00'),
('91488', '35.00'),
('13903', '5.00'),
('50627', '33.00'),
('65462', '22.00'),
('11861', '8.00'),
('56062', '26.00'),
('96381', '49.00'),
('65810', '17.00'),
('77094', '45.00'),
('60173', '37.00'),
('33973', '20.00'),
('59269', '3.00'),
('77364', '11.00'),
('99083', '47.00'),
('76712', '14.00'),
('62329', '32.00'),
('35545', '19.00'),
('59153', '20.00'),
('49663', '49.00'),
('27455', '23.00'),
('16588', '28.00'),
('77569', '20.00'),
('52041', '21.00'),
('14243', '35.00'),
('73322', '36.00'),
('50862', '11.00'),
('36447', '38.00'),
('36255', '31.00'),
('56693', '39.00'),
('98776', '49.00'),
('52089', '16.00'),
('68699', '45.00'),
('60467', '6.00'),
('54975', '41.00'),
('73841', '48.00'),
('45416', '11.00'),
('18179', '30.00'),
('28111', '42.00'),
('20411', '50.00'),
('73865', '20.00'),
('87106', '18.00'),
('21120', '12.00'),
('33170', '38.00'),
('71818', '12.00'),
('79638', '1.00'),
('56730', '32.00'),
('38500', '9.00'),
('30738', '11.00'),
('91133', '44.00'),
('10835', '42.00'),
('47253', '9.00'),
('62350', '5.00'),
('20132', '35.00'),
('76097', '16.00'),
('60024', '9.00'),
('53344', '4.00'),
('93055', '17.00'),
('80002', '12.00'),
('62769', '45.00'),
('48138', '12.00'),
('82745', '48.00'),
('49032', '23.00'),
('53386', '24.00'),
('91443', '6.00'),
('28261', '7.00'),
('82334', '47.00'),
('37412', '48.00'),
('28326', '20.00'),
('75826', '42.00'),
('63867', '47.00'),
('15482', '21.00'),
('88715', '44.00'),
('73434', '9.00'),
('18355', '11.00'),
('74986', '22.00'),
('12246', '37.00'),
('74769', '9.00'),
('39746', '26.00'),
('95811', '32.00'),
('69871', '34.00'),
('93074', '42.00'),
('81529', '37.00'),
('78377', '16.00'),
('35964', '14.00'),
('79549', '11.00'),
('72700', '27.00'),
('62898', '47.00'),
('56860', '32.00'),
('63944', '4.00'),
('59224', '27.00'),
('38874', '50.00'),
('41814', '42.00'),
('46060', '21.00'),
('45892', '25.00'),
('34399', '41.00'),
('69933', '47.00'),
('22272', '26.00'),
('68045', '48.00'),
('33532', '41.00'),
('37022', '48.00'),
('79702', '3.00'),
('12286', '21.00'),
('89936', '42.00'),
('29495', '50.00'),
('69122', '48.00'),
('13665', '43.00'),
('38545', '23.00'),
('29048', '24.00'),
('12435', '41.00'),
('48282', '25.00'),
('90690', '6.00'),
('49237', '16.00'),
('61300', '13.00'),
('88107', '29.00'),
('50591', '12.00'),
('85469', '27.00'),
('60742', '29.00'),
('37304', '25.00'),
('27957', '22.00'),
('90093', '35.00'),
('79307', '4.00'),
('32382', '19.00'),
('28660', '12.00'),
('58466', '21.00'),
('21296', '46.00'),
('40127', '22.00'),
('67723', '20.00'),
('67299', '47.00'),
('69038', '30.00'),
('15599', '14.00'),
('69056', '31.00'),
('11014', '27.00'),
('53216', '23.00'),
('11924', '1.00'),
('17267', '2.00'),
('35790', '32.00'),
('45480', '40.00'),
('60309', '20.00'),
('88720', '4.00'),
('65169', '26.00'),
('32594', '6.00'),
('55509', '4.00'),
('42235', '23.00'),
('22780', '8.00'),
('67414', '39.00'),
('66757', '21.00'),
('73592', '47.00'),
('39737', '45.00'),
('55259', '8.00'),
('22287', '16.00'),
('91043', '13.00'),
('98022', '34.00'),
('48501', '47.00'),
('78661', '49.00'),
('88306', '24.00'),
('29041', '2.00'),
('88747', '33.00'),
('89089', '22.00'),
('13164', '26.00'),
('19681', '38.00'),
('40171', '8.00'),
('61782', '26.00'),
('95457', '42.00'),
('44750', '14.00'),
('15952', '7.00'),
('73389', '14.00'),
('29972', '12.00'),
('90868', '27.00'),
('47250', '2.00'),
('25295', '50.00'),
('22239', '29.00'),
('21599', '46.00'),
('67070', '30.00'),
('59037', '21.00'),
('45093', '37.00'),
('11736', '41.00'),
('43147', '36.00'),
('39397', '42.00'),
('44382', '49.00'),
('61629', '14.00'),
('23967', '41.00'),
('81102', '32.00'),
('24075', '32.00'),
('11002', '32.00'),
('79167', '34.00'),
('80096', '21.00'),
('67049', '36.00'),
('75148', '50.00'),
('81756', '50.00'),
('97824', '35.00'),
('99464', '35.00'),
('36844', '1.00'),
('83430', '48.00'),
('53823', '2.00'),
('67704', '7.00'),
('63542', '39.00'),
('91016', '41.00'),
('66683', '8.00'),
('71403', '8.00'),
('23953', '29.00'),
('17100', '20.00'),
('81932', '25.00'),
('63837', '46.00'),
('92488', '35.00'),
('95594', '35.00'),
('97165', '48.00'),
('89450', '35.00'),
('93715', '9.00'),
('65630', '13.00'),
('90648', '48.00'),
('69023', '36.00'),
('70003', '32.00'),
('29301', '50.00'),
('98317', '45.00'),
('32434', '38.00'),
('85545', '6.00'),
('94766', '1.00'),
('65950', '50.00'),('50471', '22.00'),
('90192', '10.00'),
('90460', '7.00'),
('16766', '50.00'),
('90190', '6.00'),
('31961', '9.00'),
('49399', '48.00'),
('27760', '50.00'),
('86287', '10.00'),
('40584', '43.00'),
('13579', '37.00'),
('37785', '43.00'),
('30276', '32.00'),
('70503', '2.00'),
('13875', '50.00'),
('66595', '33.00'),
('23075', '35.00'),
('55108', '4.00'),
('54899', '44.00'),
('68780', '38.00'),
('83241', '23.00'),
('10335', '13.00'),
('90059', '16.00'),
('14925', '12.00'),
('81792', '32.00'),
('50725', '39.00'),
('68517', '43.00'),
('82794', '20.00'),
('99915', '31.00'),
('58028', '35.00'),
('94207', '21.00'),
('91998', '20.00'),
('28176', '21.00'),
('22742', '28.00'),
('80404', '26.00'),
('43744', '48.00'),
('92520', '36.00'),
('97524', '5.00'),
('20325', '50.00'),
('96445', '17.00'),
('28602', '30.00'),
('18143', '7.00'),
('29682', '45.00'),
('20992', '17.00'),
('98345', '21.00'),
('85840', '44.00'),
('60225', '24.00'),
('92187', '33.00'),
('99507', '33.00'),
('65883', '46.00'),
('40613', '37.00'),
('71439', '48.00'),
('49908', '17.00'),
('23317', '32.00'),
('59246', '47.00'),
('35113', '16.00'),
('96755', '9.00'),
('48200', '43.00'),
('21210', '8.00'),
('31855', '32.00'),
('29534', '33.00'),
('71342', '10.00'),
('86752', '2.00'),
('18395', '3.00'),
('92035', '7.00'),
('18572', '15.00'),
('93716', '40.00'),
('31092', '49.00'),
('19290', '44.00'),
('62145', '7.00'),
('66303', '16.00'),
('73328', '13.00'),
('26527', '45.00'),
('62590', '5.00'),
('86505', '14.00'),
('76145', '22.00'),
('95671', '9.00'),
('94898', '22.00'),
('77424', '18.00'),
('52251', '21.00'),
('90392', '41.00'),
('68387', '28.00'),
('41164', '29.00'),
('79160', '29.00'),
('32440', '27.00'),
('35453', '33.00'),
('27352', '29.00'),
('15891', '5.00'),
('57027', '32.00'),
('91941', '25.00'),
('10927', '28.00'),
('22841', '39.00'),
('22478', '8.00'),
